	B-Cells	CD4+-T-Cells	CD8+-T-Cells	DCIS 1	DCIS 2	Endothelial	Invasive-Tumor-Core	Invasive-Tumor-Other	Invasive-Tumor-Surface	IRF7+-DCs	LAMP3+-DCs	Macrophages-1	Macrophages-2	Mast-Cells	Myoepi-ACTA2+	Myoepi-KRT15+	Perivascular-Like	Prolif-Invasive-Tumor	Stromal	Stromal-&-T-Cell-Hybrid	T-Cell-&-Tumor-Hybrid
SAMD11	0.265759387521849	0.151728006792025	0.126829198064261	0.653859597038148	0.816883854810665	0.234008624829004	1.26129501415435	1.27583683715229	1.14478990695403	0.247478118899025	0.0493670288911599	0.18520345055735	0.109152085932986	0	0.326026327119782	0.276341771714328	0.229719354604667	0.971484942425464	0.619790287566478	0.38544770763763	0.793057842357554
KLHL17	0.416255771500649	0.422064505256845	0.516090627046368	0.401280668230915	0.516407494816112	0.241539269874091	0.916151701036471	0.731676866321171	0.667234089405218	0.243438044421287	0.895371338663615	0.27045348276677	0.607037023560763	0	0.365360918489857	0.280348112055438	0.194123839834539	0.868360359226379	0.325406821476609	0.451439140098563	0.632847336395508
PLEKHN1	0.291485519133503	0.265999884332011	0.173955386927946	0.47162155196007	0.923343698557572	0.129519172106977	0.808064548937265	0.752114435547433	0.653410533254961	0.238531457140679	0.710400087169173	0.169856339278765	0.0686198244776205	0	0.604091794602789	0.765188930930146	0.0227444470949685	0.366635181907573	0.173842892333389	0.269769448313264	0.499955904886903
HES4	0.70637786928674	0.333956490249749	0.382602690519338	1.17189105409369	3.30205860052745	1.05301374733013	1.93167976095347	1.98347505045616	1.85865263603944	0.321302433456364	1.3090240557617	0.491196479039421	0.295988399549952	0.335680443196995	1.40317227503052	1.68656450607662	3.22074544928514	2.58984812152065	1.11497662950806	0.664746707365223	1.66521115320303
ISG15	0.871574843219688	0.569209345820639	0.818953823406006	0.930477189213195	4.33775452939137	1.2933415146627	1.3101457285362	1.62989162807542	1.62500471420079	0.402078973103293	0.134068732711861	1.66044452288498	0.364626439821934	0.449567318868231	1.61277400709411	1.05288204960837	1.27172540017505	1.36645978002664	1.0199554296269	0.811171819170655	1.63753654016023
MXRA8	0.251619726138367	0.111912146524137	0.0745775524011657	0.164027158201225	0.100452027954805	0.288836235842292	0.0743759041320241	0.072652869668969	0.0869185957713539	0.325893833373634	0	0.129418471013719	0.102910364631093	0	2.06821037605853	0.766162148991253	1.92661719871834	0.0688810158734226	4.96282842778709	2.58731084905121	0.0660932663506702
ANKRD65	0.0115507054487123	0.0231102334794973	0.00658761528326746	0.0327109798703841	0.0226258232929973	0.665451666695959	0.011783291459701	0.0102878283175271	0.00736375153631411	0	0	0.0145136393631264	0.0647734754014036	0	0.9026443047557	0.186585828496959	0.0272279676617725	0.00840376431458414	0.161943845022821	0.027395458928728	0.0147927369154031
VWA1	0.30398393579452	0.113918719511791	0.163374449302369	1.74996579740432	1.15296652594843	8.63907986222828	0.534200231632056	0.861737802764246	0.565071529367955	0.265677616400419	0.0215042895681616	0.295216453567184	0.140068297065486	0.346507594060431	1.74666396329608	1.94735090689462	0.889670224612386	0.396721352614154	0.449933845430407	0.266681415307285	0.540062287178207
ATAD3C	0.0971293747844426	0.0664588114823049	0.0533247217202968	0.403613580698219	0.328690057235333	0.800985912585322	0.143985068406927	0.283183816948679	0.19930478675505	0	0	0.0538916554280136	0.0169631103742146	0	0.189748891864352	0.294032324523438	0.0706997390467726	0.13282402663951	0.0528177816603592	0.0466507373368407	0.129380154833847
MMP23B	0.0648795928979972	0.0250258172422707	0.144558181096028	0.0976557170430654	0.0910656605921012	0.1169175256475	0.251982852601085	0.169197706549938	0.169945602846992	0.957479928317716	0.0430085791363232	0.0564463608263659	0.0449547693793948	0.390213446755375	0.0530607753238252	0.0463729966459098	0.112048134124374	0.132424718114557	1.50281824760572	0.411595291488876	0.0913544512929883
